Level_1	Level_2	S1t1t16s	S2t1t16s	Parent seq. 1	Parent seq. 2	Rel. freq. 1 (%)	Rel. freq. 2 (%)	p-values	p-values (corrected)	Effect size	95.0% lower CI	95.0% upper CI	Power (alpha = 0.05)	Equal sample size (alpha = 0.05; power = 0.80)	
Cellular Processes	Cell Motility	38026	38765	1189569	1162636	3.19661995227	3.33423358644	2.90160196553e-09	2.90160196553e-09	-0.137613634168	-0.183053775163	-0.0921846680495	N/A	N/A	
Cellular Processes	Cell Growth and Death	6639	6191	1189569	1162636	0.558101295511	0.53249684338	0.00770225339852	0.00770225339852	0.0256044521312	0.00677949746186	0.0444267749012	N/A	N/A	
Cellular Processes and Signaling	Cellular Processes and Signaling_Unclassified	44592	44659	1189569	1162636	3.74858457139	3.84118503126	0.000204606796403	0.000204606796403	-0.0926004598698	-0.141448215239	-0.0437621098482	N/A	N/A	
Environmental Information Processing	Membrane Transport	112013	104696	1189569	1162636	9.41626757254	9.00505403239	1.10487141663e-27	1.10487141663e-27	0.411213540153	0.337306374827	0.485116113268	N/A	N/A	
Environmental Information Processing	Signal Transduction	28438	28348	1189569	1162636	2.3906137433	2.4382523851	0.0173575318186	0.0173575318186	-0.0476386418004	-0.086881257088	-0.00840547222442	N/A	N/A	
Genetic Information Processing	Replication and Repair	84049	84163	1189569	1162636	7.06550019377	7.23898107404	2.47197178172e-07	2.47197178172e-07	-0.173480880274	-0.23935751425	-0.107612459463	N/A	N/A	
Genetic Information Processing	Translation	51746	51652	1189569	1162636	4.34997885789	4.44266305189	0.000532405660947	0.000532405660947	-0.0926841940036	-0.145094676681	-0.0402826380542	N/A	N/A	
Genetic Information Processing	Folding, Sorting and Degradation	28827	28676	1189569	1162636	2.42331466271	2.46646413839	0.0322940204774	0.0322940204774	-0.0431494756834	-0.0826322901179	-0.00367589793644	N/A	N/A	
Human Diseases	Cancers	1360	1152	1189569	1162636	0.11432712184	0.0990851822927	0.000350762081168	0.000350762081168	0.0152419395473	0.00689814179109	0.0235941959335	N/A	N/A	
Human Diseases	Cardiovascular Diseases	256	187	1189569	1162636	0.0215203994052	0.016084139834	0.00271574468729	0.00271574468729	0.0054362595712	0.00193211140318	0.00896574469895	N/A	N/A	
Human Diseases	Neurodegenerative Diseases	2711	2450	1189569	1162636	0.227897667138	0.210728035258	0.00508742543001	0.00508742543001	0.0171696318805	0.00521136707518	0.029128899555	N/A	N/A	
Metabolism	Xenobiotics Biodegradation and Metabolism	35956	33359	1189569	1162636	3.0226073477	2.86925572578	3.59392615496e-12	3.59392615496e-12	0.153351621921	0.110135704639	0.196564850928	N/A	N/A	
Metabolism	Glycan Biosynthesis and Metabolism	32178	32340	1189569	1162636	2.70501332836	2.7816100654	0.000326699392345	0.000326699392345	-0.0765967370464	-0.118356934201	-0.0348466460939	N/A	N/A	
