Level_1	Level_2	C11	D1af	Parent seq. 1	Parent seq. 2	Rel. freq. 1 (%)	Rel. freq. 2 (%)	p-values	p-values (corrected)	Effect size	95.0% lower CI	95.0% upper CI	Power (alpha = 0.05)	Equal sample size (alpha = 0.05; power = 0.80)	
Cellular Processes	Cell Motility	68520	53302	1750824	2391406	3.91358583159	2.22889797885	0.0	0.0	1.68468785274	1.65045011422	1.71901128114	N/A	N/A	
Cellular Processes	Cell Growth and Death	5869	12152	1750824	2391406	0.335213590858	0.508152944335	5.69288947258e-158	5.69288947258e-158	-0.172939353477	-0.185353783479	-0.160490086097	N/A	N/A	
Cellular Processes	Transport and Catabolism	3892	7750	1750824	2391406	0.222295330656	0.324077132867	3.06735082651e-85	3.06735082651e-85	-0.101781802211	-0.111792644229	-0.0917336425064	N/A	N/A	
Cellular Processes and Signaling	Cellular Processes and Signaling_Unclassified	108557	106601	1750824	2391406	6.20033766958	4.45767050848	0.0	0.0	1.7426671611	1.69842705652	1.78697590002	N/A	N/A	
Environmental Information Processing	Membrane Transport	231183	245931	1750824	2391406	13.2042398322	10.2839501114	0.0	0.0	2.92028972086	2.85709562262	2.98353419316	N/A	N/A	
Environmental Information Processing	Signal Transduction	45913	50206	1750824	2391406	2.6223652406	2.09943439132	9.88763899036e-265	9.88763899036e-265	0.522930849279	0.493125604348	0.552807299359	N/A	N/A	
Environmental Information Processing	Signaling Molecules and Interaction	2905	5320	1750824	2391406	0.1659218745	0.222463270561	5.81667708327e-38	5.81667708327e-38	-0.0565413960611	-0.065007411647	-0.0480325480007	N/A	N/A	
Genetic Information Processing	Transcription	51144	55096	1750824	2391406	2.92113884662	2.30391660805	0.0	0.0	0.617222238569	0.585892415699	0.648623460159	N/A	N/A	
Genetic Information Processing	Translation	72064	120210	1750824	2391406	4.11600480688	5.02674995379	0.0	0.0	-0.910745146913	-0.951129634527	-0.870313052465	N/A	N/A	
Genetic Information Processing	Replication and Repair	122817	192899	1750824	2391406	7.0148113117	8.06634256166	0.0	0.0	-1.05153124995	-1.10271626652	-1.00029768664	N/A	N/A	
Genetic Information Processing	Genetic Information Processing_Unclassified	50195	64200	1750824	2391406	2.86693579709	2.68461315226	5.97463889555e-29	5.97463889555e-29	0.182322644825	0.150249333431	0.214458202774	N/A	N/A	
Genetic Information Processing	Folding, Sorting and Degradation	44336	64105	1750824	2391406	2.53229336587	2.68064059386	8.43217309418e-21	8.43217309418e-21	-0.148347227993	-0.17931330513	-0.117325166356	N/A	N/A	
Human Diseases	Neurodegenerative Diseases	3484	10287	1750824	2391406	0.198992017473	0.430165350426	0.0	0.0	-0.231173332953	-0.241770082803	-0.220565102389	N/A	N/A	
Human Diseases	Infectious Diseases	16440	13980	1750824	2391406	0.938986442955	0.584593331287	0.0	0.0	0.354393111668	0.337190249285	0.371685358856	N/A	N/A	
Human Diseases	Cardiovascular Diseases	14	456	1750824	2391406	0.000799623491567	0.0190682803338	3.22057479534e-88	3.22057479534e-88	-0.0182686568423	-0.0201290836759	-0.0165112273286	N/A	N/A	
Human Diseases	Metabolic Diseases	1891	1603	1750824	2391406	0.108006287325	0.0670316959981	5.07956859217e-45	5.07956859217e-45	0.0409745913272	0.0351496375961	0.046891367909	N/A	N/A	
Human Diseases	Cancers	2424	4298	1750824	2391406	0.138449095969	0.179726905427	3.05158240674e-25	3.05158240674e-25	-0.0412778094587	-0.0489488090417	-0.0335618381133	N/A	N/A	
Metabolism	Glycan Biosynthesis and Metabolism	50126	46699	1750824	2391406	2.86299479559	1.95278426164	0.0	0.0	0.91021053395	0.879955413434	0.940544953678	N/A	N/A	
Metabolism	Metabolism_Unclassified	52413	54790	1750824	2391406	2.99361900454	2.29112078836	0.0	0.0	0.702498216181	0.670962551313	0.734106735045	N/A	N/A	
Metabolism	Xenobiotics Biodegradation and Metabolism	30634	77515	1750824	2391406	1.74969043148	3.24139857473	0.0	0.0	-1.49170814325	-1.52137765235	-1.46201369491	N/A	N/A	
Metabolism	Metabolism of Terpenoids and Polyketides	24934	50039	1750824	2391406	1.42412943848	2.09245105181	0.0	0.0	-0.668321613326	-0.69354443062	-0.643061201424	N/A	N/A	
Metabolism	Amino Acid Metabolism	146859	250886	1750824	2391406	8.38799331058	10.4911503944	0.0	0.0	-2.10315708379	-2.15965425038	-2.0466144825	N/A	N/A	
Metabolism	Carbohydrate Metabolism	144567	229372	1750824	2391406	8.25708352182	9.59151227353	0.0	0.0	-1.33442875172	-1.38967766282	-1.2791323928	N/A	N/A	
Metabolism	Biosynthesis of Other Secondary Metabolites	7831	15202	1750824	2391406	0.447275111605	0.635692977269	2.66978065033e-146	2.66978065033e-146	-0.188417865665	-0.202512088603	-0.174284543851	N/A	N/A	
Metabolism	Energy Metabolism	88820	133832	1750824	2391406	5.07303989436	5.59637301236	5.67452901761e-121	5.67452901761e-121	-0.523333118003	-0.566957015472	-0.479657616407	N/A	N/A	
Metabolism	Lipid Metabolism	57821	87418	1750824	2391406	3.30250213614	3.65550642593	2.18401508041e-83	2.18401508041e-83	-0.35300428979	-0.388564872571	-0.317390801616	N/A	N/A	
Metabolism	Metabolism of Cofactors and Vitamins	73667	108097	1750824	2391406	4.20756169666	4.52022784922	2.47894712156e-53	2.47894712156e-53	-0.312666152559	-0.352358984924	-0.272919733925	N/A	N/A	
Metabolism	Metabolism of Other Amino Acids	30955	46133	1750824	2391406	1.76802465582	1.92911617684	3.16769243204e-33	3.16769243204e-33	-0.161091521024	-0.187236548967	-0.134891500536	N/A	N/A	
Metabolism	Enzyme Families	36119	46519	1750824	2391406	2.06297149228	1.94525730888	2.88359660877e-17	2.88359660877e-17	0.1177141834	0.0903645602919	0.14512686292	N/A	N/A	
Metabolism	Nucleotide Metabolism	62783	88515	1750824	2391406	3.58591154793	3.70137902138	6.00318003108e-10	6.00318003108e-10	-0.115467473445	-0.151924472252	-0.0789542769718	N/A	N/A	
Organismal Systems	Circulatory System	42	1641	1750824	2391406	0.0023988704747	0.0686207193592	9.88131291682e-324	9.88131291682e-324	-0.0662218488845	-0.0696787574664	-0.0628741570313	N/A	N/A	
Organismal Systems	Digestive System	23	1288	1750824	2391406	0.00131366716472	0.0538595286622	2.94708589038e-267	2.94708589038e-267	-0.0525458614975	-0.0555993988619	-0.0496097993147	N/A	N/A	
Organismal Systems	Endocrine System	3392	7582	1750824	2391406	0.193737348814	0.317051976954	8.25100766521e-133	8.25100766521e-133	-0.12331462814	-0.132955366173	-0.113644228973	N/A	N/A	
Organismal Systems	Excretory System	467	333	1750824	2391406	0.0266731550401	0.0139248626122	6.59180422978e-20	6.59180422978e-20	0.0127482924279	0.0099494102753	0.0156490970878	N/A	N/A	
Organismal Systems	Nervous System	960	1576	1750824	2391406	0.0548313251361	0.0659026530836	6.59136272411e-06	6.59136272411e-06	-0.0110713279475	-0.0158043684882	-0.00628818337558	N/A	N/A	
Organismal Systems	Environmental Adaptation	1932	2895	1750824	2391406	0.110348041836	0.121058490277	0.0016374926055	0.0016374926055	-0.010710448441	-0.0172887143849	-0.00407609355119	N/A	N/A	
Organismal Systems	Immune System	959	1452	1750824	2391406	0.0547742091724	0.0607174189577	0.0133394117179	0.0133394117179	-0.00594320978535	-0.0105839852263	-0.00124698160849	N/A	N/A	
Poorly Characterized	Poorly Characterized_Unclassified	102927	129907	1750824	2391406	5.87877479404	5.43224362572	2.65712489127e-84	2.65712489127e-84	0.446531168323	0.401402133227	0.491718505559	N/A	N/A	
